"tpc","msg","date"
"xbee/hum",35.8,"2017-01-13 00:13:15.543000"
"xbee/hum",35.7,"2017-01-13 00:13:19.570000"
"xbee/hum",35.7,"2017-01-13 00:13:29.660000"
"xbee/hum",35.7,"2017-01-13 00:13:39.749000"
"xbee/hum",35.7,"2017-01-13 00:13:49.902000"
"xbee/hum",35.7,"2017-01-13 00:13:59.992000"
"xbee/hum",35.6,"2017-01-13 00:14:08.130000"
"xbee/hum",35.6,"2017-01-13 00:14:18.268000"
"xbee/hum",35.6,"2017-01-13 00:14:28.277000"
"xbee/hum",35.6,"2017-01-13 00:14:38.399000"
"xbee/hum",35.6,"2017-01-13 00:14:48.491000"
"xbee/hum",35.6,"2017-01-13 00:14:58.596000"
"xbee/hum",35.6,"2017-01-13 00:15:08.782000"
"xbee/hum",35.7,"2017-01-13 00:15:16.809000"
"xbee/hum",35.6,"2017-01-13 00:15:18.840000"
"xbee/hum",35.7,"2017-01-13 00:15:24.977000"
"xbee/hum",35.6,"2017-01-13 00:15:27.095000"
"xbee/hum",35.6,"2017-01-13 00:15:37.132000"
"xbee/hum",35.6,"2017-01-13 00:15:47.254000"
"xbee/hum",35.6,"2017-01-13 00:15:57.408000"
"xbee/hum",35.6,"2017-01-13 00:16:07.542000"
"xbee/hum",35.6,"2017-01-13 00:16:18.031000"
"xbee/hum",35.6,"2017-01-13 00:16:27.740000"
"xbee/hum",35.6,"2017-01-13 00:16:37.861000"
"xbee/hum",35.6,"2017-01-13 00:17:07.551000"
"xbee/hum",35.6,"2017-01-13 00:17:17.596000"
"xbee/hum",35.7,"2017-01-13 00:17:25.815000"
"xbee/hum",35.7,"2017-01-13 00:17:35.808000"
"xbee/hum",35.6,"2017-01-13 00:17:37.823000"
"xbee/hum",35.6,"2017-01-13 00:17:47.944000"
"xbee/hum",35.6,"2017-01-13 00:17:58.142000"
"xbee/hum",35.6,"2017-01-13 00:18:08.290000"
"xbee/hum",35.6,"2017-01-13 00:18:18.335000"
"xbee/hum",35.6,"2017-01-13 00:18:28.428000"
"xbee/hum",35.6,"2017-01-13 00:18:38.537000"
"xbee/hum",35.7,"2017-01-13 00:18:40.568000"
"xbee/hum",35.6,"2017-01-13 00:18:44.741000"
"xbee/hum",35.6,"2017-01-13 00:18:54.798000"
"xbee/hum",35.7,"2017-01-13 00:19:00.811000"
"xbee/hum",35.6,"2017-01-13 00:19:02.841000"
"xbee/hum",35.7,"2017-01-13 00:19:04.996000"
"xbee/hum",35.6,"2017-01-13 00:19:07.026000"
"xbee/hum",35.7,"2017-01-13 00:19:11.089000"
"xbee/hum",35.7,"2017-01-13 00:19:21.251000"
"xbee/hum",35.7,"2017-01-13 00:19:31.255000"
"xbee/hum",35.7,"2017-01-13 00:19:41.344000"
"xbee/hum",35.7,"2017-01-13 00:19:51.450000"
"xbee/hum",35.7,"2017-01-13 00:20:01.571000"
"xbee/hum",35.7,"2017-01-13 00:20:11.821000"
"xbee/hum",35.7,"2017-01-13 00:20:21.879000"
"xbee/hum",35.7,"2017-01-13 00:20:32.079000"
"xbee/hum",35.7,"2017-01-13 00:20:42.074000"
"xbee/hum",35.7,"2017-01-13 00:20:52.164000"
"xbee/hum",35.6,"2017-01-13 00:21:02.253000"
"xbee/hum",35.7,"2017-01-13 00:21:12.381000"
"xbee/hum",35.7,"2017-01-13 00:21:22.481000"
"xbee/hum",35.7,"2017-01-13 00:21:32.570000"
"xbee/hum",35.6,"2017-01-13 00:21:36.738000"
"xbee/hum",35.6,"2017-01-13 00:21:46.817000"
"xbee/hum",35.7,"2017-01-13 00:21:50.847000"
"xbee/hum",35.6,"2017-01-13 00:22:01.039000"
"xbee/hum",35.6,"2017-01-13 00:22:11.106000"
"xbee/hum",35.6,"2017-01-13 00:22:21.211000"
"xbee/hum",35.6,"2017-01-13 00:22:31.333000"
"xbee/hum",35.5,"2017-01-13 00:22:37.409000"
"xbee/hum",35.5,"2017-01-13 00:22:47.499000"
"xbee/hum",35.5,"2017-01-13 00:22:57.572000"
"xbee/hum",35.5,"2017-01-13 00:23:07.826000"
"xbee/hum",35.5,"2017-01-13 00:23:17.911000"
"xbee/hum",35.6,"2017-01-13 00:23:28.001000"
"xbee/hum",35.5,"2017-01-13 00:23:30.032000"
"xbee/hum",35.6,"2017-01-13 00:23:32.174000"
"xbee/hum",35.5,"2017-01-13 00:23:34.125000"
"xbee/hum",35.5,"2017-01-13 00:23:44.276000"
"xbee/hum",35.6,"2017-01-13 00:23:52.386000"
"xbee/hum",35.5,"2017-01-13 00:23:56.383000"
"xbee/hum",35.6,"2017-01-13 00:23:58.628000"
"xbee/hum",35.5,"2017-01-13 00:24:02.628000"
"xbee/hum",35.5,"2017-01-13 00:24:12.629000"
"xbee/hum",35.6,"2017-01-13 00:24:22.718000"
"xbee/hum",35.6,"2017-01-13 00:24:32.920000"
"xbee/hum",35.5,"2017-01-13 00:24:42.945000"
"xbee/hum",35.6,"2017-01-13 00:24:45.072000"
"xbee/hum",35.6,"2017-01-13 00:24:55.097000"
"xbee/hum",35.7,"2017-01-13 00:24:59.159000"
"xbee/hum",35.6,"2017-01-13 00:25:01.190000"
"xbee/hum",35.6,"2017-01-13 00:25:11.311000"
"xbee/hum",35.6,"2017-01-13 00:25:21.480000"
"xbee/hum",35.5,"2017-01-13 00:25:23.548000"
"xbee/hum",35.6,"2017-01-13 00:25:25.510000"
"xbee/hum",35.5,"2017-01-13 00:25:35.632000"
"xbee/hum",35.6,"2017-01-13 00:25:37.662000"
"xbee/hum",35.5,"2017-01-13 00:25:39.956000"
"xbee/hum",35.5,"2017-01-13 00:25:49.831000"
"xbee/hum",35.5,"2017-01-13 00:25:59.952000"
"xbee/hum",35.5,"2017-01-13 00:26:10.042000"
"xbee/hum",35.5,"2017-01-13 00:26:20.131000"
"xbee/hum",35.5,"2017-01-13 00:26:30.237000"
"xbee/hum",35.5,"2017-01-13 00:26:40.326000"
"xbee/hum",35.5,"2017-01-13 00:26:50.416000"
"xbee/hum",35.5,"2017-01-13 00:27:00.505000"
"xbee/hum",35.5,"2017-01-13 00:27:10.595000"
"xbee/hum",35.5,"2017-01-13 00:27:20.684000"
"xbee/hum",35.5,"2017-01-13 00:27:30.773000"
"xbee/hum",35.5,"2017-01-13 00:27:40.908000"
"xbee/hum",35.5,"2017-01-13 00:27:50.968000"
"xbee/hum",35.5,"2017-01-13 00:28:01.060000"
"xbee/hum",35.6,"2017-01-13 00:28:05.121000"
"xbee/hum",35.5,"2017-01-13 00:28:07.167000"
"xbee/hum",35.6,"2017-01-13 00:28:09.198000"
"xbee/hum",35.5,"2017-01-13 00:28:11.229000"
"xbee/hum",35.6,"2017-01-13 00:28:13.325000"
"xbee/hum",35.5,"2017-01-13 00:28:21.335000"
"xbee/hum",35.5,"2017-01-13 00:28:31.424000"
"xbee/hum",35.6,"2017-01-13 00:28:35.502000"
"xbee/hum",35.5,"2017-01-13 00:28:37.533000"
"xbee/hum",35.6,"2017-01-13 00:28:47.622000"
"xbee/hum",35.5,"2017-01-13 00:28:51.652000"
"xbee/hum",35.6,"2017-01-13 00:29:01.757000"
"xbee/hum",35.5,"2017-01-13 00:29:05.819000"
"xbee/hum",35.5,"2017-01-13 00:29:15.908000"
"xbee/hum",35.5,"2017-01-13 00:29:25.998000"
"xbee/hum",35.6,"2017-01-13 00:29:30.028000"
"xbee/hum",35.5,"2017-01-13 00:29:32.074000"
"xbee/hum",35.6,"2017-01-13 00:29:34.198000"
"xbee/hum",35.6,"2017-01-13 00:29:44.298000"
"xbee/hum",35.6,"2017-01-13 00:29:54.380000"
"xbee/hum",35.6,"2017-01-13 00:30:04.421000"
"xbee/hum",35.6,"2017-01-13 00:30:14.511000"
"xbee/hum",35.5,"2017-01-13 00:30:16.542000"
"xbee/hum",35.5,"2017-01-13 00:30:26.631000"
"xbee/hum",35.5,"2017-01-13 00:30:36.721000"
"xbee/hum",35.5,"2017-01-13 00:30:46.794000"
"xbee/hum",35.5,"2017-01-13 00:30:56.884000"
"xbee/hum",35.5,"2017-01-13 00:31:06.973000"
"xbee/hum",35.6,"2017-01-13 00:31:09.067000"
"xbee/hum",35.5,"2017-01-13 00:31:11.066000"
"xbee/hum",35.6,"2017-01-13 00:31:13.097000"
"xbee/hum",35.6,"2017-01-13 00:31:23.187000"
"xbee/hum",35.6,"2017-01-13 00:31:33.276000"
"xbee/hum",35.6,"2017-01-13 00:31:43.382000"
"xbee/hum",35.5,"2017-01-13 00:31:53.702000"
"xbee/hum",35.6,"2017-01-13 00:31:57.556000"
"xbee/hum",35.5,"2017-01-13 00:32:01.560000"
"xbee/hum",35.5,"2017-01-13 00:32:11.649000"
"xbee/hum",35.5,"2017-01-13 00:32:21.738000"
"xbee/hum",35.5,"2017-01-13 00:32:31.827000"
"xbee/hum",35.6,"2017-01-13 00:32:33.858000"
"xbee/hum",35.5,"2017-01-13 00:32:35.889000"
"xbee/hum",35.6,"2017-01-13 00:32:39.995000"
"xbee/hum",35.5,"2017-01-13 00:32:43.995000"
"xbee/hum",35.6,"2017-01-13 00:32:46.026000"
"xbee/hum",35.5,"2017-01-13 00:32:54.116000"
"xbee/hum",35.5,"2017-01-13 00:33:04.206000"
"xbee/hum",35.4,"2017-01-13 00:33:08.235000"
"xbee/hum",35.4,"2017-01-13 00:33:18.326000"
"xbee/hum",35.4,"2017-01-13 00:33:28.416000"
"xbee/hum",35.4,"2017-01-13 00:33:38.505000"
"xbee/hum",35.4,"2017-01-13 00:33:48.579000"
"xbee/hum",35.5,"2017-01-13 00:33:58.668000"
"xbee/hum",35.5,"2017-01-13 00:34:08.757000"
"xbee/hum",35.5,"2017-01-13 00:34:18.846000"
"xbee/hum",35.5,"2017-01-13 00:34:28.936000"
"xbee/hum",35.5,"2017-01-13 00:34:39.025000"
"xbee/hum",35.5,"2017-01-13 00:34:49.115000"
"xbee/hum",35.5,"2017-01-13 00:34:59.204000"
"xbee/hum",35.5,"2017-01-13 00:35:09.293000"
"xbee/hum",35.4,"2017-01-13 00:35:17.368000"
"xbee/hum",35.4,"2017-01-13 00:35:27.458000"
"xbee/hum",35.4,"2017-01-13 00:35:37.531000"
"xbee/hum",35.4,"2017-01-13 00:35:47.620000"
"xbee/hum",35.4,"2017-01-13 00:35:57.710000"
"xbee/hum",35.4,"2017-01-13 00:36:07.799000"
"xbee/hum",35.4,"2017-01-13 00:36:17.873000"
"xbee/hum",35.4,"2017-01-13 00:36:27.962000"
"xbee/hum",35.4,"2017-01-13 00:36:38.118000"
"xbee/hum",35.5,"2017-01-13 00:36:46.126000"
"xbee/hum",35.5,"2017-01-13 00:36:56.215000"
"xbee/hum",35.5,"2017-01-13 00:37:06.305000"
"xbee/hum",35.4,"2017-01-13 00:37:16.394000"
"xbee/hum",35.5,"2017-01-13 00:37:22.683000"
"xbee/hum",35.4,"2017-01-13 00:37:26.499000"
"xbee/hum",35.5,"2017-01-13 00:37:28.546000"
"xbee/hum",35.4,"2017-01-13 00:37:30.576000"
"xbee/hum",35.4,"2017-01-13 00:37:40.650000"
"xbee/hum",35.4,"2017-01-13 00:37:50.739000"
"xbee/hum",35.4,"2017-01-13 00:38:00.829000"
"xbee/hum",35.4,"2017-01-13 00:38:10.918000"
"xbee/hum",35.4,"2017-01-13 00:38:20.992000"
"xbee/hum",35.4,"2017-01-13 00:38:31.081000"
"xbee/hum",35.5,"2017-01-13 00:38:37.157000"
"xbee/hum",35.4,"2017-01-13 00:38:39.188000"
"xbee/hum",35.5,"2017-01-13 00:38:47.262000"
"xbee/hum",35.4,"2017-01-13 00:38:55.352000"
"xbee/hum",35.5,"2017-01-13 00:39:01.397000"
"xbee/hum",35.4,"2017-01-13 00:39:05.458000"
"xbee/hum",35.4,"2017-01-13 00:39:15.547000"
"xbee/hum",35.5,"2017-01-13 00:39:17.579000"
"xbee/hum",35.4,"2017-01-13 00:39:19.609000"
"xbee/hum",35.5,"2017-01-13 00:39:23.746000"
"xbee/hum",35.4,"2017-01-13 00:39:25.717000"
"xbee/hum",35.4,"2017-01-13 00:39:35.806000"
"xbee/hum",35.4,"2017-01-13 00:39:45.880000"
"xbee/hum",35.4,"2017-01-13 00:39:55.969000"
"xbee/hum",35.3,"2017-01-13 00:40:06.059000"
"xbee/hum",35.4,"2017-01-13 00:40:10.088000"
"xbee/hum",35.3,"2017-01-13 00:40:12.135000"
"xbee/hum",35.3,"2017-01-13 00:40:22.224000"
"xbee/hum",35.3,"2017-01-13 00:40:32.314000"
"xbee/hum",35.3,"2017-01-13 00:40:42.497000"
"xbee/hum",35.4,"2017-01-13 00:40:44.546000"
"xbee/hum",35.4,"2017-01-13 00:40:54.602000"
"xbee/hum",35.4,"2017-01-13 00:41:05.071000"
"xbee/hum",35.4,"2017-01-13 00:41:14.868000"
"xbee/hum",35.4,"2017-01-13 00:41:24.972000"
"xbee/hum",35.3,"2017-01-13 00:41:28.852000"
"xbee/hum",35.4,"2017-01-13 00:41:30.883000"
"xbee/hum",35.3,"2017-01-13 00:41:36.958000"
"xbee/hum",35.4,"2017-01-13 00:41:38.989000"
"xbee/hum",35.3,"2017-01-13 00:41:41.019000"
"xbee/hum",35.4,"2017-01-13 00:41:43.050000"
"xbee/hum",35.4,"2017-01-13 00:41:53.140000"
"xbee/hum",35.3,"2017-01-13 00:41:57.202000"
"xbee/hum",35.4,"2017-01-13 00:41:59.232000"
"xbee/hum",35.4,"2017-01-13 00:42:09.321000"
"xbee/hum",35.4,"2017-01-13 00:42:19.411000"
"xbee/hum",35.4,"2017-01-13 00:42:29.500000"
"xbee/hum",35.4,"2017-01-13 00:42:39.574000"
"xbee/hum",35.4,"2017-01-13 00:42:49.663000"
"xbee/hum",35.4,"2017-01-13 00:42:59.752000"
"xbee/hum",35.4,"2017-01-13 00:43:09.825000"
"xbee/hum",35.3,"2017-01-13 00:43:17.917000"
"xbee/hum",35.4,"2017-01-13 00:43:19.947000"
"xbee/hum",35.3,"2017-01-13 00:43:21.978000"
